operator,category,rarity,release_cn,appellation,asset_id,release_source,catalog_commit,skin_id,skin_name,skin_group,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
引星棘刺,default,6,2024-12-05 16:00:00,Thorns the Lodestar,build_char_1039_thorn2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,,,,1039_thorn2,thorns-the-lodestar,引星棘刺,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/thorns-the-lodestar,6d8d58bedd505fe00d6f1f2b26939330b30c7849
烛煌,default,6,2025-01-22 16:00:00,Blaze the Igniting Spark,build_char_1040_blaze2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,,,,1040_blaze2,blaze-the-igniting-spark,烛煌,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/blaze-the-igniting-spark,6d8d58bedd505fe00d6f1f2b26939330b30c7849
死芒,default,6,2025-03-07 16:00:00,Necrass,build_char_450_necras,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,,,,450_necras,necrass,死芒,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/necrass,6d8d58bedd505fe00d6f1f2b26939330b30c7849
新约能天使,default,6,2025-05-01 16:00:00,Exusiai the New Covenant,build_char_1041_angel2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,,,,1041_angel2,exusiai-the-new-covenant,新约能天使,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/exusiai-the-new-covenant,6d8d58bedd505fe00d6f1f2b26939330b30c7849
酒神,default,6,2025-06-05 16:00:00,Tragodia,build_char_1042_phatm2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,,,,1042_phatm2,tragodia,酒神,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/tragodia,6d8d58bedd505fe00d6f1f2b26939330b30c7849
司霆惊蛰,default,6,2025-07-08 16:00:00,Leizi the Thunderbringer,build_char_1043_leizi2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,,,,1043_leizi2,leizi-the-thunderbringer,司霆惊蛰,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/leizi-the-thunderbringer,6d8d58bedd505fe00d6f1f2b26939330b30c7849
斩业星熊,default,6,2025-08-02 16:00:00,Hoshiguma the Breacher,build_char_1044_hsgma2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,,,,1044_hsgma2,hoshiguma-the-breacher,斩业星熊,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/hoshiguma-the-breacher,6d8d58bedd505fe00d6f1f2b26939330b30c7849
芬,skin,3,2019-05-01 10:00:00,Fang,build_char_123_fang_winter#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_123_fang@winter#1,十字郡,寒武纪/I,123_fang_winter#1,fang-winter-1,芬·十字郡,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/fang-winter-1,6d8d58bedd505fe00d6f1f2b26939330b30c7849
阿米娅,skin,5,2019-05-23 10:00:00,Amiya,build_char_002_amiya_winter#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_002_amiya@winter#1,报童,忒斯特收藏/I,002_amiya_winter#1,amiya-winter-1,阿米娅·报童,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/amiya-winter-1,6d8d58bedd505fe00d6f1f2b26939330b30c7849
芙蓉,skin,3,2019-05-30 10:00:00,Hibiscus,build_char_120_hibisc_nian#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_120_hibisc@nian#1,守岁人,0011制造/I,120_hibisc_nian#1,hibiscus-nian-1,芙蓉·守岁人,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/hibiscus-nian-1,6d8d58bedd505fe00d6f1f2b26939330b30c7849
